"INSTNM","YEAR","LOCALE2","STABBR","ACCREDAGENCY","REGION","CONTROL","LOCALE","MAIN","ADM_RATE","UGDS","COSTT4_A","HBCU","MN_EARN_WNE_P10","MD_EARN_WNE_P10","MN_EARN_WNE_MALE0_P10","MN_EARN_WNE_MALE1_P10","MN_EARN_WNE_P6","MD_EARN_WNE_P6","MN_EARN_WNE_MALE0_P6","MN_EARN_WNE_MALE1_P6","DEBT_MDN_SUPP","GRAD_DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","TUITIONFEE_OUT","TUITIONFEE_IN"
"Alabama A & M University",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.6622","5726","23751","1","35500","40628","32600","38500","28400","27851","26700","30000","16600","31000","0.2531554273","0.2219053052","0.293029872","0.3375394322","0.2772","0.3067","0.6167","18634","10024"
"University of Alabama at Birmingham",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.8842","12118","27826","0","48400","54501","43200","57400","39400","46572","36600","43900","15832","22300","0.513963161","0.468220339","0.5339251744","0.5827338129","0.6345","0.6418","0.822","21864","8832"
"Amridge University",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","12","Main","NA","226","not_reported","0","47600","37621","38700","56000","35400","30377","26600","45200","13385","32189","0.2307692308","0.1661721068","PS","PS","PS","PS","NA","NA","NA"
"University of Alabama in Huntsville",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.7425","6650","27098","0","52000","61767","46000","58700","40300","55610","35600","44900","13905","20705","0.5485090298","0.4616096207","0.5753623188","0.6721311475","0.624","0.623","0.8034","24662","11770"
"Alabama State University",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.9564","3322","22028","1","30600","34502","28300","33000","24400","27453","23400","25500","17500","31000","0.2185867473","0.1950549451","0.2576112412","0.3319148936","0.2884","0.3227","0.6006","19576","11248"
"The University of Alabama",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.7582","32323","32024","0","51600","59221","45100","59100","42400","52233","36400","49000","17986","22750","0.6019442985","0.4838445808","0.5830291971","0.7129411765","0.7322","0.7314","0.8638","33200","11900"
"Central Alabama Community College",2025,"03 Town","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","32","Main","NA","1134","19815","0","32400","33506","28600","41500","25900","30739","24000","29800","5500","9766","0.2510056315","0.1945652174","0.367768595","0.5432098765","NA","NA","NA","8850","5040"
"Athens State University",2025,"03 Town","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","31","Main","NA","2407","not_reported","0","42400","50273","38000","54100","36200","46266","31800","46500","14861","18051","0.5038167939","0.4180327869","0.5704584041","0.6346153846","NA","NA","NA","NA","NA"
"Auburn University at Montgomery",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.9263","2693","21873","0","38000","44391","34500","44900","32100","38216","30000","36200","13119","25000","0.4418886199","0.3581661891","0.523054755","0.5979381443","0.3576","0.3699","0.683","20092","9436"
"Auburn University",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","0.5047","25732","34402","0","56300","65337","48000","63800","43100","54629","38200","47900","17750","21000","0.7239612977","0.6148748159","0.7151724138","0.7892813642","0.7996","0.8119","0.9261","33944","12536"
"Birmingham-Southern College",2025,"01 City","AL","NA",5,"Private nonprofit","12","Main","0.5194","713","38385","0","53100","59481","47600","61100","36700","45229","34000","38800","16000","25000","0.7559912854","0.6517857143","0.7957746479","0.7853658537","0.644","0.7071","0.7029","22750","22750"
"Chattahoochee Valley Community College",2025,"02 Suburb","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","21","Main","NA","1044","12032","0","31300","36438","28600","36700","26000","32196","24900","28400","5900","10500","0.28125","0.2083333333","0.4387755102","0.4736842105","NA","NA","NA","8850","5040"
"South University-Montgomery",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Private for-profit","12","Other","NA","302","30704","0","40200","34421","38300","46700","32500","34115","30600","38800","13000","26123","0.2547585843","0.2105572789","0.3232935014","0.4912993039","0.1143","0.1539","PS","18238","18238"
"Enterprise State Community College",2025,"03 Town","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","32","Main","NA","1476","14798","0","42700","42572","30000","53700","33700","32883","23900","39900","5500","7499","0.4260416667","0.3223570191","0.6015936255","0.5454545455","NA","NA","NA","8850","5040"
"Coastal Alabama Community College",2025,"03 Town","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","32","Main","NA","4714","15171","0","33900","34894","27600","44200","26600","30808","24100","32000","5500","11000","0.3489905233","0.2648766328","0.4383753501","0.5044776119","NA","NA","NA","8790","4980"
"Faulkner University",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","12","Main","0.6613","1555","36910","0","40700","43457","34400","54100","33400","37313","30900","37700","15000","23000","0.3081623745","0.226127321","0.4011406844","0.5992217899","0.3537","0.2319","0.6675","23920","23920"
"Gadsden State Community College",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","NA","3619","10687","1","30200","32937","27000","36800","24300","29795","21600","29100","PS","PS","NA","NA","NA","NA","NA","NA","NA","7080","4032"
"New Beginning College of Cosmetology",2025,"03 Town","AL","National Accrediting Commission of Career Arts and Sciences",5,"Private for-profit","32","Main","NA","39","not_reported","0","NA","NA","NA","NA","NA","15833","NA","NA","6100","9500","0.4205607477","0.3506493506","PS","PS","NA","NA","NA","NA","NA"
"George C Wallace Community College-Dothan",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","NA","3053","9863","0","29800","31399","26800","37300","24900","28431","22900","29600","PS","PS","NA","NA","NA","NA","NA","NA","NA","8730","4920"
"George C Wallace State Community College-Hanceville",2025,"04 Rural","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","42","Main","NA","4413","18748","0","34800","39842","31400","41400","29200","36129","26500","34100","8200","11000","0.4397394137","0.3292065279","0.5618945102","0.6675824176","NA","NA","NA","8790","4980"
"George C Wallace State Community College-Selma",2025,"03 Town","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","32","Main","NA","828","9505","0","27300","31598","24800","32500","23000","25214","20500","27200","PS","PS","NA","NA","NA","NA","NA","NA","NA","8490","4680"
"Herzing University-Birmingham",2025,"02 Suburb","AL","Higher Learning Commission",5,"Private nonprofit","21","Other","0.9449","445","27195","0","41600","36909","34200","48500","30100","35295","27400","38900","11756","21500","0.3041105434","0.2450605481","0.4267029973","0.5948103792","0.2941","NA","PS","13420","13420"
"Huntingdon College",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","12","Main","0.7083","865","39686","0","43600","49601","39800","46300","34600","42147","33400","35800","20000","27000","0.5146036161","0.3838028169","0.5042016807","0.7157360406","0.4851","0.4331","0.6575","28650","28650"
"Heritage Christian University",2025,"01 City","AL","Association for Biblical Higher Education",5,"Private nonprofit","13","Main","1","63","not_reported","0","PS","42597","PS","PS","PS","NA","PS","PS","PS","PS","PS","PS","PS","PS","PS","PS","PS","11982","11982"
"J. F. Drake State Community and Technical College",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","NA","719","11908","1","27600","28281","24400","32300","21500","27211","20700","22700","PS","PS","NA","NA","NA","NA","NA","NA","NA","8940","5130"
"J F Ingram State Technical College",2025,"04 Rural","AL","NA",5,"Public","41","Main","NA","826","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","PS","PS","NA","NA","NA","NA","NA","NA","NA","6084","6084"
"Jacksonville State University",2025,"02 Suburb","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","23","Main","0.7622","7030","23422","0","38100","45235","34500","43000","31800","40158","29800","34500","14000","22189","0.4210392257","0.335290977","0.4752851711","0.5420054201","0.5172","0.5009","0.6502","22716","12426"
"Jefferson State Community College",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","NA","5443","14384","0","33800","40719","30700","40800","29400","35502","27000","34700","4500","9689","0.4485852312","0.3510848126","0.525974026","0.6181015453","NA","NA","NA","8850","5040"
"John C Calhoun State Community College",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","NA","6928","12687","0","32200","38192","28300","39300","27000","32579","24100","31600","6010","12000","0.38055344","0.2841344109","0.4966698382","0.5754189944","NA","NA","NA","8870","5060"
"Lawson State Community College",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","NA","2720","15028","1","26600","31701","24900","30500","22700","27733","21200","25300","PS","PS","NA","NA","NA","NA","NA","NA","NA","8790","4980"
"University of West Alabama",2025,"04 Rural","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","43","Main","0.8711","2666","22402","0","40400","44232","34300","46900","29700","37106","26300","34100","13000","24944","0.3667296786","0.3224603914","0.415954416","0.5521472393","0.3823","0.4345","0.6498","20090","10990"
"Lurleen B Wallace Community College",2025,"04 Rural","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","41","Main","NA","1122","10223","0","32000","32307","27000","40200","25500","30010","22200","32600","PS","PS","NA","NA","NA","NA","NA","NA","NA","8790","4980"
"Marion Military Institute",2025,"04 Rural","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","43","Main","0.5917","308","18458","0","49800","59644","PS","PS","33600","45043","PS","PS","5500","9250","0.5924657534","0.5504587156","0.5357142857","0.6868686869","NA","NA","NA","15538","9538"
"Miles College",2025,"02 Suburb","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","21","Main","NA","1151","22900","1","29500","32627","27600","31200","23100","25822","22000","24000","15691","31217","0.149776928","0.1319444444","0.1946902655","0.2179487179","0.2609","0.2489","0.5661","12714","12714"
"University of Mobile",2025,"04 Rural","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","41","Main","0.7251","1079","38731","0","38700","43611","36000","43600","32700","37411","29400","38800","19000","26500","0.4438722966","0.3203125","0.515037594","0.6735751295","0.5067","0.5054","0.6992","26120","26120"
"University of Montevallo",2025,"03 Town","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","31","Main","0.539","2087","26233","0","36100","42957","33000","41800","28000","35406","27100","30000","16000","24000","0.5173333333","0.4259259259","0.5694444444","0.6093189964","0.5204","0.5412","0.7318","26730","13710"
"Northwest Shoals Community College",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","NA","1924","10894","0","30800","33828","24700","40900","25600","31469","21800","31100","5500","10000","0.3611312545","0.2387543253","0.5552560647","0.6028368794","NA","NA","NA","8881","5071"
"University of North Alabama",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","13","Main","0.9648","5468","22086","0","42800","45415","37800","48400","32100","38295","31000","33300","15781","22077","0.516271595","0.431616341","0.552855407","0.637037037","0.5314","0.528","0.7709","22190","11990"
"Northeast Alabama Community College",2025,"04 Rural","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","42","Main","NA","1547","10620","0","31700","34913","28100","39300","26200","31750","22500","31900","4400","6100","0.4630102041","0.39958159","0.539748954","0.6417910448","NA","NA","NA","8790","4980"
"Oakwood University",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","12","Main","0.5051","1253","38592","1","37400","42488","33500","42500","25800","30969","25400","26400","21500","27000","0.2837301587","0.2248908297","0.3147058824","0.3619047619","0.4775","0.5128","0.6954","21838","21838"
"Reid State Technical College",2025,"04 Rural","AL","Council on Occupational Education",5,"Public","43","Main","NA","365","9066","0","26800","28982","23500","35500","25300","28287","21000","33500","PS","PS","NA","NA","NA","NA","NA","NA","NA","10700","6100"
"Bishop State Community College",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","NA","2100","11530","1","28300","29916","24400","35200","23500","25100","21400","27900","PS","PS","NA","NA","NA","NA","NA","NA","NA","9090","5280"
"Samford University",2025,"02 Suburb","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","21","Main","0.8223","3828","53934","0","59800","58469","51400","74100","45200","49466","45300","45100","15750","19500","0.7767548907","0.6519607843","0.7666666667","0.8481012658","0.788","0.7894","0.8926","38144","38144"
"Selma University",2025,"03 Town","AL","NA",5,"Private nonprofit","32","Main","NA","34","not_reported","1","PS","NA","PS","PS","PS","NA","PS","PS","-999","NA","0.1179361179","0.1102362205","PS","PS","0.24","0.0216","NA","4800","4800"
"Shelton State Community College",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","NA","3191","16607","1","31100","35014","25200","40500","25900","31581","22000","31000","PS","PS","NA","NA","NA","NA","NA","NA","NA","8877","5067"
"Snead State Community College",2025,"03 Town","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","32","Main","NA","1494","12583","0","30700","35735","26000","40800","25700","32858","23300","30500","6450","9000","0.3530701754","0.262987013","0.5508474576","0.5","NA","NA","NA","9536","5472"
"University of South Alabama",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","0.6549","8540","22070","0","46800","49379","39300","59000","35100","41307","32500","39000","17750","24929","0.4695919938","0.3811011324","0.5098412698","0.6235849057","0.5006","0.4837","0.7235","18652","9676"
"Spring Hill College",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","12","Main","0.591","850","37172","0","51300","51500","45800","62600","34800","41358","34000","36500","21500","27000","0.6072013093","0.4703196347","0.6054054054","0.7536231884","0.5882","0.5753","0.7318","23270","23270"
"Stillman College",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","12","Main","0.7422","761","23485","1","33700","35421","31900","34900","24900","29790","24700","25200","16000","29067","0.2526595745","0.2040816327","0.3301435407","0.3962264151","0.3264","0.1886","0.7155","11392","11392"
"Talladega College",2025,"03 Town","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","32","Main","0.9925","782","23441","1","23900","32229","25300","22200","24200","22613","24000","24500","15000","28500","0.1789181692","0.1583793738","PS","PS","0.5119","0.2647","0.7781","15650","15650"
"H Councill Trenholm State Community College",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","12","Main","NA","1584","12148","1","28000","32183","24400","34200","24400","28657","21900","27600","PS","PS","NA","NA","NA","NA","NA","NA","NA","8700","4890"
"Troy University",2025,"03 Town","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","33","Main","0.9261","10089","21816","0","41100","42062","36600","50500","34300","39392","30600","41200","15985","25000","0.3498531898","0.2704735376","0.4398756047","0.6154506438","0.4619","0.5232","0.7386","19584","9792"
"Tuskegee University",2025,"03 Town","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","32","Main","0.3143","2367","41924","1","42200","49641","39700","44600","34500","38332","34100","35100","21250","27000","0.4960173787","0.4684684685","0.5515695067","0.4721189591","0.6184","0.5475","0.7431","23440","23440"
"United States Sports Academy",2025,"01 City","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Private nonprofit","13","Main","0.3529","136","not_reported","0","PS","55257","PS","PS","35700","45521","PS","PS","10976","PS","0.4436090226","0.397260274","PS","PS","NA","NA","PS","18900","18900"
"Bevill State Community College",2025,"03 Town","AL","Southern Association of Colleges and Schools Commission on Colleges",5,"Public","32","Main","NA","2189","15238","0","31300","34107","28100","38500","26600","31129","23300","32600","PS","PS","NA","NA","NA","NA","NA","NA","NA","8234","4678"
"University of Alaska Anchorage",2025,"01 City","AK","Northwest Commission on Colleges and Universities",8,"Public","11","Main","0.6652","6916","21848","0","51200","51871","44000","62600","41500","42313","37200","47500","11231","20210","0.5477396726","0.4488610987","0.6022592152","0.6548307184","0.2944","0.3578","0.6899","21693","7566"
"Alaska Bible College",2025,"02 Suburb","AK","Association for Biblical Higher Education",8,"Private nonprofit","23","Main","NA","34","22101","0","NA","NA","NA","NA","NA","NA","NA","NA","PS","PS","PS","PS","PS","PS","PS","PS","PS","10930","10930"
"University of Alaska Fairbanks",2025,"01 City","AK","Northwest Commission on Colleges and Universities",8,"Public","13","Main","NA","4027","21182","0","45100","48866","35700","57800","36500","40746","29800","44200","11283","20291","0.547265987","0.4225941423","0.5982905983","0.714","0.3532","0.4667","0.7094","22752","8640"
"University of Alaska Southeast",2025,"04 Rural","AK","Northwest Commission on Colleges and Universities",8,"Public","41","Main","0.625","920","16796","0","39500","48475","36700","43900","35200","38811","32800","39500","10500","19111","0.5768645358","0.5051546392","0.5890410959","0.7006802721","0.2821","0.2338","0.68","21096","6960"
"Alaska Pacific University",2025,"01 City","AK","Northwest Commission on Colleges and Universities",8,"Private nonprofit","11","Main","0.8621","400","34964","0","45300","54271","39100","56300","37500","47803","38200","36300","12696","23500","0.5701357466","0.3414634146","0.6829268293","0.7368421053","0.4118","0.3519","0.7436","20760","20760"
"Alaska Vocational Technical Center",2025,"04 Rural","AK","Council on Occupational Education",8,"Public","43","Main","NA","452","not_reported","0","45600","51083","PS","PS","43200","42187","PS","PS","PS","PS","0.686440678","0.5","PS","PS","NA","NA","NA","NA","NA"
"Charter College",2025,"01 City","AK","Accrediting Bureau of Health Education Schools",8,"Private for-profit","11","Main","NA","2277","31188","0","46400","35504","40500","55000","30500","35427","27200","39100","11884","14176","0.3047679059","0.254443128","0.3931777379","0.5682656827","0.5621","NA","PS","18678","18678"
"Alaska Career College",2025,"01 City","AK","Accrediting Commission of Career Schools and Colleges",8,"Private for-profit","11","Main","NA","255","not_reported","0","32000","34468","30300","40300","27200","35863","26300","33400","7199","7377","0.4457236842","0.3605769231","0.6148148148","0.6666666667","NA","NA","NA","NA","NA"
"Empire Beauty School-Tucson",2025,"01 City","AZ","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","11","Other","NA","213","not_reported","0","24500","25073","PS","PS","20500","19285","PS","PS","8028","13000","0.2879914984","0.2361733931","0.3736842105","0.512195122","NA","NA","NA","NA","NA"
"Carrington College-Phoenix North",2025,"01 City","AZ","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",6,"Private for-profit","11","Main","NA","1087","not_reported","0","27200","36718","25900","35200","28800","34062","27400","34200","9298","9500","0.3293361884","0.2785441738","0.4287200832","0.5860927152","NA","NA","NA","NA","NA"
"Carrington College-Mesa",2025,"01 City","AZ","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",6,"Private for-profit","11","Other","NA","492","not_reported","0","27200","36718","25900","35200","28800","34062","27400","34200","9298","9500","0.3293361884","0.2785441738","0.4287200832","0.5860927152","NA","NA","NA","NA","NA"
"Carrington College-Tucson",2025,"01 City","AZ","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",6,"Private for-profit","11","Other","NA","437","not_reported","0","27200","36718","25900","35200","28800","34062","27400","34200","9298","9500","0.3293361884","0.2785441738","0.4287200832","0.5860927152","NA","NA","NA","NA","NA"
"Arizona Academy of Beauty",2025,"01 City","AZ","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","11","Main","NA","49","not_reported","0","18800","21201","PS","PS","PS","19104","PS","PS","4750","5250","0.2535211268","0.1724137931","PS","PS","NA","NA","NA","NA","NA"
"Miller-Motte College-Arizona Automotive Institute",2025,"02 Suburb","AZ","Accrediting Commission of Career Schools and Colleges",6,"Private for-profit","21","Other","NA","513","not_reported","0","28100","31102","26800","34300","30500","26349","29700","34500","10661","15917","0.3413775767","0.3131443299","0.3994490358","0.6486486486","NA","NA","NA","NA","NA"
"Brookline College-Phoenix",2025,"01 City","AZ","Accrediting Bureau of Health Education Schools",6,"Private for-profit","11","Main","NA","714","not_reported","0","23700","29576","22400","29800","21400","32705","20900","24300","9500","9500","0.2092039801","0.180958013","0.3357400722","0.5119047619","0.5355","0.2857","0.5714","NA","NA"
"Arizona State University Campus Immersion",2025,"01 City","AZ","Higher Learning Commission",6,"Public","12","Main","0.9019","64398","28047","0","55500","62668","47800","64800","42200","52843","38900","46000","13610","19500","0.5848558828","0.5124426661","0.6031052887","0.6705286025","0.6737","0.6758","0.8534","32193","12051"
"Arizona Western College",2025,"01 City","AZ","Higher Learning Commission",6,"Public","13","Main","NA","6198","15857","0","32000","36857","27200","38400","25600","32165","22500","29400","4500","4826","0.3570451436","0.2916666667","0.4615384615","0.5362318841","NA","NA","NA","9830","3020"
"University of Arizona",2025,"01 City","AZ","Western Association of Schools and Colleges Senior Colleges and University Commission",6,"Public","11","Main","0.8566","40769","28543","0","56000","59979","49100","63900","41800","47665","38000","46300","13750","19620","0.6562777285","0.5790419162","0.6540460282","0.7448021462","0.6692","0.6613","0.8667","41095","13626"
"Central Arizona College",2025,"04 Rural","AZ","Higher Learning Commission",6,"Public","41","Main","NA","4892","9024","0","31500","40513","28700","37300","28300","36057","26900","30700","6157","10010","0.2935548842","0.2274919614","0.3832116788","0.4639175258","NA","NA","NA","4500","2250"
"Charles of Italy Beauty College",2025,"01 City","AZ","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","13","Main","NA","88","not_reported","0","22600","26269","PS","PS","17900","16810","PS","PS","7000","7388","0.4418604651","0.4255319149","PS","PS","NA","NA","NA","NA","NA"
"Cochise County Community College District",2025,"01 City","AZ","Higher Learning Commission",6,"Public","13","Main","NA","3007","13638","0","34300","38033","30800","40100","27000","33836","25000","29700","5500","6750","0.4121863799","0.3382789318","0.477124183","0.6323529412","NA","NA","NA","6000","2232"
"Empire Beauty School-Chandler",2025,"01 City","AZ","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","11","Other","NA","98","not_reported","0","22000","23921","21800","23900","18500","20215","PS","PS","7851","10667","0.2978723404","0.2254160363","0.4242424242","0.5802469136","NA","NA","NA","NA","NA"
"Avalon Institute-Mesa",2025,"01 City","AZ","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","11","Main","NA","388","not_reported","0","23000","30803","PS","PS","19600","29562","PS","PS","6312","6332","0.3393708294","0.2865853659","0.3781818182","0.5423728814","NA","NA","NA","NA","NA"
"Eastern Arizona College",2025,"03 Town","AZ","Higher Learning Commission",6,"Public","33","Main","NA","3058","16280","0","35700","38018","28900","42500","29100","33246","23800","35800","PS","PS","PS","PS","PS","PS","NA","NA","NA","9552","2352"
"Embry-Riddle Aeronautical University-Prescott",2025,"01 City","AZ","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","13","Other","0.7519","3245","60158","0","70300","84131","63300","71600","51400","65391","46300","52400","14250","23666","0.6444394213","0.5212569316","0.6565860215","0.7829398324","0.7017","0.6583","0.8104","42204","42204"
"The School of Architecture",2025,"01 City","AZ","Higher Learning Commission",6,"Private nonprofit","12","Main","NA","NA","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","PS","PS","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"Glendale Community College",2025,"02 Suburb","AZ","Higher Learning Commission",6,"Public","21","Main","NA","10180","18056","0","38300","43108","34900","43000","31300","37269","30000","32900","4500","6960","0.3519480519","0.2928217822","0.4483611626","0.5168986083","0.144","NA","NA","8958","2358"
"Grand Canyon University",2025,"01 City","AZ","Higher Learning Commission",6,"Private for-profit","11","Main","0.6036","68619","31493","0","58500","42186","54600","66000","36000","47280","33800","42500","12500","22114","0.3519825032","0.2423399976","0.4355471392","0.6571993085","0.4404","0.4729","0.6925","17450","17450"
"GateWay Community College",2025,"01 City","AZ","Higher Learning Commission",6,"Public","11","Main","NA","3473","18316","0","39000","46147","37500","41500","36700","42262","35800","38000","4500","6750","0.3201856148","0.2512077295","0.44473342","0.5842696629","0.1955","NA","0.6071","8958","2358"
"Mesa Community College",2025,"01 City","AZ","Higher Learning Commission",6,"Public","11","Main","NA","12049","18975","0","41500","44034","35800","48100","32900","38702","30300","35800","4500","7473","0.3394398821","0.2702044791","0.4467281879","0.518907563","NA","NA","NA","8958","2358"
"Mohave Community College",2025,"04 Rural","AZ","Higher Learning Commission",6,"Public","41","Main","NA","2750","10952","0","32900","35522","30800","38300","27400","33428","26000","29700","8000","9700","0.3657243816","0.2927818329","0.5418848168","0.6385542169","NA","NA","NA","7248","2136"
"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division",2025,"02 Suburb","AZ","Accrediting Commission of Career Schools and Colleges",6,"Private for-profit","21","Main","NA","567","not_reported","0","41600","48341","30800","41900","33600","42989","24200","33800","10247","13097","0.410058855","0.3260519248","0.481264637","0.6494156928","NA","NA","NA","NA","NA"
"Dine College",2025,"04 Rural","AZ","Higher Learning Commission",6,"Public","43","Main","NA","1507","13872","0","23400","29188","21800","27000","19000","23195","17900","21200","PS","PS","NA","NA","NA","NA","0.1256","NA","0.3846","1410","1410"
"Northern Arizona University",2025,"01 City","AZ","Higher Learning Commission",6,"Public","13","Main","0.9095","23041","29495","0","44600","54384","39800","51900","36900","47308","34800","40100","12916","19000","0.5577914855","0.4707676665","0.5616913853","0.6762383345","0.5796","0.5907","0.7413","28900","12652"
"Northland Pioneer College",2025,"04 Rural","AZ","Higher Learning Commission",6,"Public","43","Main","NA","1024","14174","0","31300","34199","28800","38600","24400","29631","21000","31600","PS","PS","NA","NA","NA","NA","NA","NA","NA","9851","2428"
"Phoenix College",2025,"01 City","AZ","Higher Learning Commission",6,"Public","11","Main","NA","6952","18033","0","36000","40870","34500","38800","29600","36674","30100","28800","5250","6750","0.2458264539","0.2025377065","0.3787731256","0.4251012146","NA","NA","NA","8958","2358"
"Pima Community College",2025,"01 City","AZ","Higher Learning Commission",6,"Public","11","Main","NA","13869","8916","0","35000","39810","31500","39800","28700","34622","26900","30900","4500","7000","0.3578495184","0.3055233681","0.4509695291","0.5050071531","NA","NA","NA","7686","2370"
"Pima Medical Institute-Tucson",2025,"01 City","AZ","Accrediting Bureau of Health Education Schools",6,"Private for-profit","11","Main","NA","2619","not_reported","0","30600","38673","28800","41300","28700","37302","26700","37500","9500","9500","0.4626200015","0.394625982","0.5658866995","0.6811352254","0.7083","NA","NA","NA","NA"
"Pima Medical Institute-Albuquerque",2025,"01 City","NM","Accrediting Bureau of Health Education Schools",6,"Private for-profit","11","Main","NA","737","not_reported","0","PS","30917","PS","PS","PS","28599","PS","PS","5250","5500","0.3381294964","0.3020833333","PS","PS","NA","NA","NA","NA","NA"
"Prescott College",2025,"01 City","AZ","Higher Learning Commission",6,"Private nonprofit","13","Main","0.9857","253","47228","0","34300","42359","32100","38400","28500","33539","27700","30000","12500","16300","0.525390625","0.4472727273","0.562962963","0.6862745098","0.4414","0.4474","0.6324","35685","35685"
"Refrigeration School Inc",2025,"01 City","AZ","Accrediting Commission of Career Schools and Colleges",6,"Private for-profit","11","Main","NA","1271","not_reported","0","45000","52953","PS","PS","37200","47246","PS","PS","7917","8233","0.3662131519","0.2949152542","0.4848484848","0.606557377","NA","NA","NA","NA","NA"
"Rio Salado College",2025,"01 City","AZ","Higher Learning Commission",6,"Public","12","Main","NA","4879","13740","0","43400","41015","40100","52700","35100","42314","32500","41200","4375","9500","0.2287994387","0.1747937894","0.3600775194","0.4127806563","0.039","NA","NA","8958","2358"
