"INSTNM","YEAR","LOCALE2","STABBR","ACCREDAGENCY","REGION","CONTROL","LOCALE","MAIN","ADM_RATE","UGDS","COSTT4_A","HBCU","MN_EARN_WNE_P10","MD_EARN_WNE_P10","MN_EARN_WNE_MALE0_P10","MN_EARN_WNE_MALE1_P10","MN_EARN_WNE_P6","MD_EARN_WNE_P6","MN_EARN_WNE_MALE0_P6","MN_EARN_WNE_MALE1_P6","DEBT_MDN_SUPP","GRAD_DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","TUITIONFEE_OUT","TUITIONFEE_IN"
"Charles and Sues School of Hair Design",2025,"01 City","TX","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","13","Main","NA","58","not_reported","0","21300","27724","PS","PS","19000","23552","PS","PS","7770","9500","0.4155844156","0.3898305085","PS","PS","NA","NA","NA","NA","NA"
"Cisco College",2025,"04 Rural","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","43","Main","NA","2913","16346","0","34600","39092","29700","41300","29400","34134","26800","33300","6500","9500","0.3668831169","0.274015748","0.4507042254","0.5029239766","NA","NA","NA","5760","4110"
"Clarendon College",2025,"04 Rural","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","43","Main","NA","1380","15253","0","37900","38696","30600","47600","31800","30902","24600","38700","5500","11000","0.3801775148","0.2879177378","0.445","0.6436781609","NA","NA","NA","5400","3720"
"Concordia University Texas",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","11","Main","0.9106","1388","52098","0","51300","60883","47500","57100","41200","48058","40000","43000","15134","21852","0.558531746","0.4542682927","0.556122449","0.6805555556","0.3971","0.415","0.6552","36690","36690"
"BK Cosmo College of Cosmetology",2025,"03 Town","TX","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","33","Main","NA","39","not_reported","0","PS","20270","PS","PS","PS","NA","PS","PS","9500","PS","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"North Central Texas College",2025,"03 Town","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","32","Main","NA","5703","10212","0","37600","45809","33100","45400","34100","38779","30600","39400","6020","11250","0.4073431628","0.3320631464","0.4641472868","0.5423728814","NA","NA","NA","7200","2520"
"Texas A & M University-Corpus Christi",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","11","Main","0.8947","7804","24562","0","48600","51865","43100","57700","39100","42933","36000","43800","15273","23000","0.5176586812","0.4367454068","0.5309150866","0.6659505908","0.3442","0.391","0.6056","21033","9748"
"Paul Mitchell the School-Dallas",2025,"02 Suburb","TX","Council on Occupational Education",6,"Private for-profit","21","Main","NA","322","not_reported","0","32800","28693","PS","PS","25600","25987","PS","PS","7457","8505","0.4402116402","0.3472222222","0.5108695652","0.6060606061","NA","NA","NA","NA","NA"
"Dallas Baptist University",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","11","Main","0.9108","2526","49343","0","49200","56807","42500","59600","42900","45138","39700","47700","16000","21591","0.5489855072","0.4221854305","0.5540540541","0.6880907372","0.5854","0.592","0.6296","38140","38140"
"Dallas Christian College",2025,"02 Suburb","TX","Association for Biblical Higher Education",6,"Private nonprofit","21","Main","0.8403","272","32916","0","45500","43503","35700","52300","33000","39868","28600","37800","15000","24912","0.4788732394","0.3837209302","0.4936708861","0.625","0.2895","0.2037","0.3611","20260","20260"
"Dallas Institute of Funeral Service",2025,"01 City","TX","American Board of Funeral Service Education Committee on Accreditation",6,"Private nonprofit","11","Main","NA","483","21593","0","37800","45866","29300","46300","35300","40945","PS","PS","7664","12820","0.4117647059","0.3148148148","PS","PS","NA","NA","NA","13496","13496"
"Dallas Theological Seminary",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","11","Main","NA","NA","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","PS","PS","PS","PS","PS","PS","NA","NA","NA","NA","NA"
"University of Dallas",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","11","Main","0.542","1403","64752","0","51400","58285","42900","62400","37400","45950","34300","40400","18478","23117","0.75","0.6210526316","0.7058823529","0.8270042194","0.6987","0.7116","0.7884","50880","50880"
"Del Mar College",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","11","Main","NA","9038","12022","0","38000","38656","31300","48700","32600","32526","26800","40700","3500","5500","0.41","0.3546441496","0.4899135447","0.5564516129","0.1459","NA","0.5342","6050","3440"
"East Texas Baptist University",2025,"03 Town","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","32","Main","0.601","1364","41833","0","43600","52788","36100","49500","34800","41759","32900","36200","15030","23250","0.5546975547","0.4136807818","0.60546875","0.6962616822","0.4523","0.3983","0.6743","30050","30050"
"Texas A&M University-Texarkana",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","13","Main","0.8019","1748","22143","0","39200","45515","36200","53700","34800","41785","32600","43400","12500","18953","0.523099851","0.4459459459","0.6136363636","0.6296296296","0.3063","0.3292","0.6115","20947","7930"
"Texas A & M University-Commerce",2025,"03 Town","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","32","Main","0.9259","8249","23663","0","41900","50296","37300","49800","36000","43157","33600","40500","14250","20500","0.4657679091","0.3956567797","0.5058184639","0.599009901","0.442","0.4427","0.6401","22626","10026"
"Dallas College",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","11","Main","NA","41815","9641","0","34100","41714","33200","37100","29400","35493","29600","28600","5500","9500","0.2270854789","0.1931677019","0.3754512635","0.4727272727","0.3507","NA","0.8286","6000","2370"
"El Paso Community College",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","11","Main","NA","22893","12741","0","31700","35212","26600","38900","26100","28765","22400","30600","5231","6566","0.3754988029","0.3425664217","0.4506065858","0.46875","NA","NA","NA","5314","3274"
"Western Technical College",2025,"01 City","TX","Accrediting Commission of Career Schools and Colleges",6,"Private for-profit","11","Other","NA","619","not_reported","0","34500","36156","23600","38600","28800","35035","20700","33300","13406","17277","0.2934782609","0.260349586","0.3828125","0.6486486486","0.7149","NA","0.7619","NA","NA"
"Western Technical College",2025,"01 City","TX","Accrediting Commission of Career Schools and Colleges",6,"Private for-profit","11","Main","NA","1148","not_reported","0","34500","36156","23600","38600","28800","35035","20700","33300","13406","17277","0.2934782609","0.260349586","0.3828125","0.6486486486","0.6825","NA","0.7317","NA","NA"
"Episcopal Theological Seminary of the Southwest",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","11","Main","NA","NA","not_reported","0","NA","NA","NA","NA","NA","NA","NA","NA","-999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Exposito School of Hair Design",2025,"01 City","TX","National Accrediting Commission of Career Arts and Sciences",6,"Private for-profit","12","Main","NA","25","not_reported","0","21800","20397","PS","PS","20900","NA","PS","PS","4750","PS","0.5833333333","0.5333333333","PS","PS","NA","NA","NA","NA","NA"
