"Year","INSTNM","STABBR","REGION","ADM_RATE","UGDS","COSTT4_A","MD_EARN_WNE_P10","MD_EARN_WNE_P6","DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","isNCF"
"2020","Chandler-Gilbert Community College","AZ",6,,8493,"12166",38600,32200,"3600",0.4031007752,0.3206724782,0.4648547329,0.5235507246,,,,FALSE
"2020","HSHS St. John's Hospital School of Clinical Laboratory Science","IL",3,,6,"not reported",,,"16239",,,,,,,,FALSE
"2020","Madison Media Institute","WI",3,,11,"21339",31600,24700,"8483",0.3664739884,0.2286821705,0.4975124378,0.6689189189,,,,FALSE
"2020","Great Plains Technology Center","OK",6,,172,"not reported",32300,30500,"-999",,,,,,,,FALSE
"2020","Roane-Jackson Technical Center","WV",5,,37,"not reported",27800,24800,"-999",,,,,,,,FALSE
"2020","Pioneer Technology Center","OK",6,,147,"not reported",27300,21500,"-999",,,,,,,,FALSE
"2020","Portage Lakes Career Center","OH",3,,69,"not reported",32600,25200,"6333",0.4881889764,0.4352941176,,,,,,FALSE
"2020","Eastern College of Health Vocations-New Orleans","LA",5,,58,"not reported",21700,18000,"4154",0.412,0.3907496013,0.5052631579,,,,,FALSE
"2020","Bell Mar Beauty College","IL",3,,90,"not reported",18800,,"-999",,,,,,,,FALSE
"2020","Caddo Kiowa Technology Center","OK",6,,382,"not reported",19600,14300,"-999",,,,,,,,FALSE
"2020","Oswego County BOCES","NY",2,,64,"not reported",30700,28300,"5500",0.4615384615,0.3720930233,,,,,,FALSE
"2020","International School of Skin Nailcare & Massage Therapy","GA",5,,196,"not reported",22300,22200,"6032",0.3474747475,0.33,,,,,,FALSE
"2020","Palomar Institute of Cosmetology","CA",8,,149,"not reported",19900,22800,"6230",0.5323383085,0.5035971223,,,,,,FALSE
"2020","Southern Oklahoma Technology Center","OK",6,,145,"not reported",29800,25400,"-999",,,,,,,,FALSE
"2020","Vista College","TX",6,,606,"22302",20800,20400,"12623",0.1724793912,0.153865399,0.2527472527,0.412371134,,,,FALSE
"2020","Autry Technology Center","OK",6,0.9273,380,"not reported",30800,23500,"-999",,,,,,,,FALSE
"2020","Greene County Vocational School District","OH",3,,28,"not reported",31000,33600,"4583",0.4375,0.3737373737,,,,,,FALSE
"2020","Canadian Valley Technology Center","OK",6,,333,"not reported",23200,21700,"-999",,,,,,,,FALSE
"2020","Wilkes-Barre Area Career and Technical Center Practical Nursing","PA",2,0.4025,165,"not reported",38400,34800,"10563",0.4215686275,0.3565891473,0.5957446809,,,,,FALSE
"2020","Meridian Technology Center","OK",6,,867,"not reported",27300,24500,"-999",,,,,,,,FALSE
"2020","Waynesville Career Center","MO",4,,30,"not reported",34100,,"9500",0.4805194805,0.3777777778,,,,,,FALSE
"2020","Capitol School of Hairstyling and Esthetics","NE",4,,107,"not reported",26000,21100,"6050",0.7151162791,0.6625,0.7608695652,0.7608695652,,,,FALSE
"2020","Morris County Vocational School District","NJ",2,0.95,37,"not reported",,,"-999",0.6176470588,,,,,,,FALSE
"2020","Ross Medical Education Center-Roosevelt Park","MI",3,,155,"not reported",21200,19000,"9500",0.2767894084,0.2214983713,0.4092920354,0.6178861789,,,,FALSE
"2020","Ross Medical Education Center-Kentwood","MI",3,,169,"not reported",24100,21700,"9099",0.3177172061,0.2752808989,0.4117647059,0.5873015873,,,,FALSE
"2020","South Florida Bible College and Theological Seminary","FL",5,,368,"not reported",,,"25083",,,,,,,,FALSE
"2020","Cloyd's Barber School 2 Inc","LA",5,,26,"not reported",,,"-999",,,,,,,,FALSE
"2020","Universal Technical Institute of Illinois Inc","IL",3,,954,"not reported",45200,35000,"12000",0.4811762665,0.3886316462,0.533640023,0.7034135422,,,,FALSE
"2020","Pennsylvania College of Technology","PA",2,,5289,"28789",42600,35300,"14750",0.6519558676,0.4679319372,0.7210982659,0.8243494424,0.4703,0.3841,0.7975,FALSE
"2020","Commonwealth Institute of Funeral Service","TX",6,,205,"29450",32300,27000,"8125",0.5020746888,0.4347826087,,,,,,FALSE
"2020","Delta College of Arts & Technology","LA",5,,252,"not reported",28200,23900,"5547",0.5096011817,0.4831460674,0.5833333333,0.6857142857,,,,FALSE
"2020","InterCoast Colleges-Santa Ana","CA",8,,320,"not reported",21800,20300,"9500",0.2539377641,0.2189672294,0.3285714286,0.595959596,,,,FALSE
"2020","Stone Child College","MT",7,,190,"11676",16100,10600,"-999",,,,,0.2923,,0.5435,FALSE
"2020","New York Academy of Art","NY",2,,,"not reported",,,"-999",,,,,,,,FALSE
"2020","Suffolk County Community College","NY",2,,19942,"11380",37800,29300,"5250",0.5491319737,0.4570994685,0.548019802,0.5966872111,,,,FALSE
"2020","Las Positas College","CA",8,,8048,"11204",38500,31000,"6500",0.5,0.404040404,,,,,,FALSE
"2020","Blades School of Hair Design","MD",2,,75,"not reported",,17500,"9021",0.216,0.17,,,,,,FALSE
"2020","Ogeechee Technical College","GA",5,,1682,"9588",26000,21500,"7830",0.2542517007,0.2040133779,0.3813953488,0.53125,,,,FALSE
"2020","Remington College-Mobile Campus","AL",5,,313,"25302",26800,21900,"9500",0.2589161649,0.2283704126,0.3615763547,0.5369458128,0.5821,,0.6495,FALSE
"2020","Southern Technical College","FL",5,,858,"22613",26600,24900,"12416",0.2710388857,0.2383419689,0.3022727273,0.464,0.4095,0.1667,,FALSE
"2020","Mercy-St Luke's School of Radiologic Technology","IA",4,,22,"not reported",,,"-999",,,,,,,,FALSE
"2020","Southwest Acupuncture College-Santa Fe","NM",6,,,"not reported",,,"-999",,,,,,,,FALSE
"2020","Northwest Technology Center-Alva","OK",6,,139,"not reported",24700,,"-999",,,,,,,,FALSE
"2020","Mercer County Career Center","PA",2,,16,"not reported",34600,30400,"-999",0.5189873418,0.4081632653,,,,,,FALSE
"2020","California State University-San Marcos","CA",8,0.5842,14871,"21995",47300,37800,"12500",0.6656671664,0.6399147727,0.6639089969,0.7052083333,0.5411,0.5803,0.7813,FALSE
"2020","Baptist Theological Seminary at Richmond","VA",5,,,"not reported",,,"-999",,,,,,,,FALSE
"2020","Purdue University Global-Des Moines","IA",4,,636,"23502",33900,24600,"12500",0.2559600944,0.2047353072,0.3502119642,0.5343121609,0.3571,,,FALSE
"2020","Hairmasters Institute of Cosmetology","IL",3,,101,"not reported",20100,16800,"5500",0.2842105263,0.1818181818,,,,,,FALSE
